id,nama_lokasi,provider,alamat,kabupaten_kota,provinsi,latitude,longitude,type_charge,watt,jumlah_charger,jumlah_konektor,nama_chargerbox
16,Rest Area KM 208 B Ruas Palikanci,Other/General,"Rest Area KM 208, Setupatok, Kec. Mundu, Cirebon, Jawa Barat",Kab Cirebon,Jawa Barat,-6.778025,108.567214,ultrafast,200 kW,3,2,Delta DC 200 kW City Charger
17,SPKLU PLN ULP Mattoanging,SPKLU PLN,"Jl. DR. Ratulangi, Mangkura",Kota Makassar,Sulawesi Selatan,-5.148474,119.415818,ultrafast,200 kW,5,1,AC Mini Plus
17,SPKLU PLN ULP Mattoanging,SPKLU PLN,"Jl. DR. Ratulangi, Mangkura",Kota Makassar,Sulawesi Selatan,-5.148474,119.415818,ultrafast,200 kW,5,1,AC Mini Plus (3)
17,SPKLU PLN ULP Mattoanging,SPKLU PLN,"Jl. DR. Ratulangi, Mangkura",Kota Makassar,Sulawesi Selatan,-5.148474,119.415818,ultrafast,200 kW,5,1,AC Mini Plus (4)
17,SPKLU PLN ULP Mattoanging,SPKLU PLN,"Jl. DR. Ratulangi, Mangkura",Kota Makassar,Sulawesi Selatan,-5.148474,119.415818,ultrafast,200 kW,5,2,Delta DC 200 kW City Charger
17,SPKLU PLN ULP Mattoanging,SPKLU PLN,"Jl. DR. Ratulangi, Mangkura",Kota Makassar,Sulawesi Selatan,-5.148474,119.415818,ultrafast,200 kW,5,3,Proteksindo DC EVDX-60
18,SPKLU PLN UP3 Jatinegara,SPKLU PLN,Jl. Jatinegara Timur No. 75,Kota ADM Jakarta Timur,DKI Jakarta ,-6.221126,106.86868,medium,22 kW,1,1,CS AC Charger
19,SPKLU PLN UP3 TANJUNG PRIOK,SPKLU PLN,"Jl. Yos Sudarso No.30, RT.19/RW.5, Sunter Jaya, Tj. Priok, DKI Jakarta",Kota ADM Jakarta Utara,DKI Jakarta ,-6.1213369,106.892718,medium,22 kW,3,1,Chargecore AC-22
19,SPKLU PLN UP3 TANJUNG PRIOK,SPKLU PLN,"Jl. Yos Sudarso No.30, RT.19/RW.5, Sunter Jaya, Tj. Priok, DKI Jakarta",Kota ADM Jakarta Utara,DKI Jakarta ,-6.1213369,106.892718,medium,22 kW,3,1,1. Teison 22 KW
19,SPKLU PLN UP3 TANJUNG PRIOK,SPKLU PLN,"Jl. Yos Sudarso No.30, RT.19/RW.5, Sunter Jaya, Tj. Priok, DKI Jakarta",Kota ADM Jakarta Utara,DKI Jakarta ,-6.1213369,106.892718,medium,22 kW,3,1,2. Teison 22 KW
20,SPKLU PLN UP3 Situbondo,SPKLU PLN,"Jl. Cempaka No. 35, Situbondo",Kab Situbondo,Jawa Timur,-7.712735,113.997232,ultrafast,180 kW,3,1,AC Mini Plus
20,SPKLU PLN UP3 Situbondo,SPKLU PLN,"Jl. Cempaka No. 35, Situbondo",Kab Situbondo,Jawa Timur,-7.712735,113.997232,ultrafast,180 kW,3,1,AC Mini Plus
20,SPKLU PLN UP3 Situbondo,SPKLU PLN,"Jl. Cempaka No. 35, Situbondo",Kab Situbondo,Jawa Timur,-7.712735,113.997232,ultrafast,180 kW,3,2,CS Energy DC 180 kW
21,Pelabuhan Ketapang Banyuwangi,Other/General,"Jl. Raya Banyuwangi Situbondo, Lkr. Kp. Baru, Bulusan, Kec. Kalipuro, Kabupaten Banyuwangi, Jawa Timur 68455",Kab Banyuwangi,Jawa Timur,-8.1426321,114.3171277,standard,7 kW,1,1,AC Mini Plus
22,SPKLU PLN UP3 Semarang,SPKLU PLN,"Jl. Pemuda No.93, Sekayu, Kec. Semarang Tengah, Kota Semarang, Jawa Tengah 50132",Kota Semarang,Jawa Tengah,-6.977349,110.416142,ultrafast,180 kW,2,2,Fastroom AC
22,SPKLU PLN UP3 Semarang,SPKLU PLN,"Jl. Pemuda No.93, Sekayu, Kec. Semarang Tengah, Kota Semarang, Jawa Tengah 50132",Kota Semarang,Jawa Tengah,-6.977349,110.416142,ultrafast,180 kW,2,2,Titan V5 Hyperion 180kW
23,SPKLU INDOMOBIL,Indomobil,"Wisma Indomobil, Jl. Letjend MT. Haryono No.3 RW 06, Bidara Cina, Jakarta Timur, Jakarta 13330",Kota ADM Jakarta Timur,DKI Jakarta ,-6.242442,106.864277,medium,25 kW,2,1,AC Mini Plus
23,SPKLU INDOMOBIL,Indomobil,"Wisma Indomobil, Jl. Letjend MT. Haryono No.3 RW 06, Bidara Cina, Jakarta Timur, Jakarta 13330",Kota ADM Jakarta Timur,DKI Jakarta ,-6.242442,106.864277,medium,25 kW,2,2,Delta DC Wallbox
24,SPKLU PLN UIW Kaltimra,SPKLU PLN,"JL. MT HARYONO NO. 384, BALIKPAPAN",Kota Balikpapan,Kalimantan Timur,-1.244699,116.872345,ultrafast,200 kW,2,1,AC Mini Plus
24,SPKLU PLN UIW Kaltimra,SPKLU PLN,"JL. MT HARYONO NO. 384, BALIKPAPAN",Kota Balikpapan,Kalimantan Timur,-1.244699,116.872345,ultrafast,200 kW,2,2,Delta DC 200 kW City Charger
25,SPKLU PT POS FATMAWATI,Other/General,"Jl. RS. Fatmawati Raya No.10, RT.1/RW.4, Jakarta Selatan, DKI Jakarta",Kota ADM Jakarta Selatan,DKI Jakarta ,-6.294193,106.794801,medium,25 kW,1,2,Delta DC Wallbox
26,SPKLU PLN Rest Area 626A,SPKLU PLN,"Jl Tol Solo Kertosono, Kec Saradan, Madiun, Jatim",Kab Madiun,Jawa Timur,-7.5472428,111.7573278,ultrafast,180 kW,3,2,1. CS Energy DC 100 kW
26,SPKLU PLN Rest Area 626A,SPKLU PLN,"Jl Tol Solo Kertosono, Kec Saradan, Madiun, Jatim",Kab Madiun,Jawa Timur,-7.5472428,111.7573278,ultrafast,180 kW,3,2,2. CS Energy DC 180 kW
26,SPKLU PLN Rest Area 626A,SPKLU PLN,"Jl Tol Solo Kertosono, Kec Saradan, Madiun, Jatim",Kab Madiun,Jawa Timur,-7.5472428,111.7573278,ultrafast,180 kW,3,1,Zerova 22 KW
27,SPKLU PLN UP3 Surakarta,SPKLU PLN,"Jl. Slamet Riyadi No.468, Purwosari, Kec. Laweyan, Kota Surakarta, JATENG",Kota Surakarta,Jawa Tengah,-7.56227,110.79791,ultrafast,100 kW,3,1,Delta AC Max
27,SPKLU PLN UP3 Surakarta,SPKLU PLN,"Jl. Slamet Riyadi No.468, Purwosari, Kec. Laweyan, Kota Surakarta, JATENG",Kota Surakarta,Jawa Tengah,-7.56227,110.79791,ultrafast,100 kW,3,2,Delta DC Wallbox
27,SPKLU PLN UP3 Surakarta,SPKLU PLN,"Jl. Slamet Riyadi No.468, Purwosari, Kec. Laweyan, Kota Surakarta, JATENG",Kota Surakarta,Jawa Tengah,-7.56227,110.79791,ultrafast,100 kW,3,2,Signet DC Fast Charger - 100 kW
28,SPKLU Els Coffee Roastery Lampung,Other/General,"Kalibalau Kencana, Sukabumi Sub-District, Bandar Lampung City",Kota Bandar Lampung,Lampung,-5.393384,105.288794,ultrafast,100 kW,3,1,Delta AC Max
28,SPKLU Els Coffee Roastery Lampung,Other/General,"Kalibalau Kencana, Sukabumi Sub-District, Bandar Lampung City",Kota Bandar Lampung,Lampung,-5.393384,105.288794,ultrafast,100 kW,3,2,Delta DC Wallbox
28,SPKLU Els Coffee Roastery Lampung,Other/General,"Kalibalau Kencana, Sukabumi Sub-District, Bandar Lampung City",Kota Bandar Lampung,Lampung,-5.393384,105.288794,ultrafast,100 kW,3,2,Signet DC Fast Charger - 100 kW
29,SPKLU PLN ULP BANDUNG UTARA,SPKLU PLN,"Jl. Sukaasih No.2, Gegerkalong, Kec. Sukasari, Kota Bandung, Jawa Barat",Kota Bandung,Jawa Barat,-6.8790905,107.5972058,medium,30 kW,4,1,Delta AC Max
29,SPKLU PLN ULP BANDUNG UTARA,SPKLU PLN,"Jl. Sukaasih No.2, Gegerkalong, Kec. Sukasari, Kota Bandung, Jawa Barat",Kota Bandung,Jawa Barat,-6.8790905,107.5972058,medium,30 kW,4,1,Altro AC Charger
29,SPKLU PLN ULP BANDUNG UTARA,SPKLU PLN,"Jl. Sukaasih No.2, Gegerkalong, Kec. Sukasari, Kota Bandung, Jawa Barat",Kota Bandung,Jawa Barat,-6.8790905,107.5972058,medium,30 kW,4,2,Delta DC Wallbox
29,SPKLU PLN ULP BANDUNG UTARA,SPKLU PLN,"Jl. Sukaasih No.2, Gegerkalong, Kec. Sukasari, Kota Bandung, Jawa Barat",Kota Bandung,Jawa Barat,-6.8790905,107.5972058,medium,30 kW,4,2,PHIHONG DC Wall Mount
30,SPKLU PLN Rest Area 626B,SPKLU PLN,"Jl Tol Solo Kertosono, Kec Saradan, Madiun, Jatim",Kab Madiun,Jawa Timur,-7.5479973,111.7568511,ultrafast,180 kW,3,2,2. CS Energy DC 180 kW
30,SPKLU PLN Rest Area 626B,SPKLU PLN,"Jl Tol Solo Kertosono, Kec Saradan, Madiun, Jatim",Kab Madiun,Jawa Timur,-7.5479973,111.7568511,ultrafast,180 kW,3,2,1. CS Energy DC 100 kW
30,SPKLU PLN Rest Area 626B,SPKLU PLN,"Jl Tol Solo Kertosono, Kec Saradan, Madiun, Jatim",Kab Madiun,Jawa Timur,-7.5479973,111.7568511,ultrafast,180 kW,3,1,Zerova 22 KW
31,"SPKLU PLN Kampung Ujung, Labuan Bajo",SPKLU PLN,"Lokasi Parkir Kampung Ujung Labuan Bajo, Kabupaten Manggarai Barat, NTT",Kab Manggarai Barat,Nusa Tenggara Timur,-8.490193,119.876513,fast,50 kW,1,3,Delta DC City Charger
32,SPKLU PLN UIW Suluttenggo,SPKLU PLN,"Jl. Bethesda No. 32 (Sario), Manado, Sulawesi Utara",Kab Manado,Sulawesi Utara,1.464253,124.832684,standard,7 kW,1,1,AC Mini Plus
33,SPKLU PLN Kawasan Megamas Manado,SPKLU PLN,"Jl. Laksda John Lie, Titiwungen Sel., Kec. Sario, Sulawesi Utara",Kab Manado,Sulawesi Utara,1.486344,124.833872,medium,25 kW,2,1,AC Mini Plus
33,SPKLU PLN Kawasan Megamas Manado,SPKLU PLN,"Jl. Laksda John Lie, Titiwungen Sel., Kec. Sario, Sulawesi Utara",Kab Manado,Sulawesi Utara,1.486344,124.833872,medium,25 kW,2,2,Delta DC Wallbox
34,SPKLU PLN ULP Wua Wua,SPKLU PLN,"Jl. DI Panjaitan, Kel. LepoLepo, Kec. Baruga, Kendari",Kab Kendari,Sulawesi Tenggara,-4.022784,122.502875,medium,30 kW,3,1,Delta AC Max
34,SPKLU PLN ULP Wua Wua,SPKLU PLN,"Jl. DI Panjaitan, Kel. LepoLepo, Kec. Baruga, Kendari",Kab Kendari,Sulawesi Tenggara,-4.022784,122.502875,medium,30 kW,3,2,Delta DC Wallbox
34,SPKLU PLN ULP Wua Wua,SPKLU PLN,"Jl. DI Panjaitan, Kel. LepoLepo, Kec. Baruga, Kendari",Kab Kendari,Sulawesi Tenggara,-4.022784,122.502875,medium,30 kW,3,2,PHIHONG DC Wall Mount
35,SPKLU PLN Kantor Pusat,SPKLU PLN,"Jalan Trunojoyo Blok M – I No 135 Kebayoran Baru, Jakarta",Kota ADM Jakarta Selatan,DKI Jakarta ,-6.239839,106.803782,ultrafast,200 kW,4,2,Internal - (Akses Terbatas)
35,SPKLU PLN Kantor Pusat,SPKLU PLN,"Jalan Trunojoyo Blok M – I No 135 Kebayoran Baru, Jakarta",Kota ADM Jakarta Selatan,DKI Jakarta ,-6.239839,106.803782,ultrafast,200 kW,4,1,Teison 22 KW
35,SPKLU PLN Kantor Pusat,SPKLU PLN,"Jalan Trunojoyo Blok M – I No 135 Kebayoran Baru, Jakarta",Kota ADM Jakarta Selatan,DKI Jakarta ,-6.239839,106.803782,ultrafast,200 kW,4,2,Proteksindo DC-200
35,SPKLU PLN Kantor Pusat,SPKLU PLN,"Jalan Trunojoyo Blok M – I No 135 Kebayoran Baru, Jakarta",Kota ADM Jakarta Selatan,DKI Jakarta ,-6.239839,106.803782,ultrafast,200 kW,4,2,Schneider DC Fast Charger
36,SPKLU Kantor DJK Kementrian ESDM,Other/General,"Jl. H.R. Rasuna Said, Blok X 2, Kav. 7-8, Kuningan, Setiabudi, Jakarta Selatan",Kota ADM Jakarta Selatan,DKI Jakarta ,-6.225896,106.833599,medium,30 kW,3,1,Delta AC Max
36,SPKLU Kantor DJK Kementrian ESDM,Other/General,"Jl. H.R. Rasuna Said, Blok X 2, Kav. 7-8, Kuningan, Setiabudi, Jakarta Selatan",Kota ADM Jakarta Selatan,DKI Jakarta ,-6.225896,106.833599,medium,30 kW,3,2,Delta DC Wallbox
36,SPKLU Kantor DJK Kementrian ESDM,Other/General,"Jl. H.R. Rasuna Said, Blok X 2, Kav. 7-8, Kuningan, Setiabudi, Jakarta Selatan",Kota ADM Jakarta Selatan,DKI Jakarta ,-6.225896,106.833599,medium,30 kW,3,2,PHIHONG DC Wall Mount
37,SPKLU PLN UP3 PEKANBARU,SPKLU PLN,Jl. DR Setia Budhi No 57 Pekanbaru,Kota Pekanbaru,Riau,0.536062,101.45094,fast,50 kW,1,3,Delta DC City Charger
38,SPKLU Rest Area KM 6 Jakarta - Cikampek,Other/General,"Jalan Tol Jakarta - Bekasi Timur, Jatibening Baru, Pondokgede, Kota Bekasi, Jawa Barat",Kota Bekasi,Jawa Barat,-6.25868,106.928259,medium,22 kW,1,1,CS AC Charger
39,SPKLU PLN UP3 Makassar Selatan,SPKLU PLN,"Jl Letjen Hertasning No. 99, Tamalate, Rappocini, Bonto Makkio, Makassar, Sulawesi Selatan",Kota Makassar,Sulawesi Selatan,-5.164298,119.445365,ultrafast,120 kW,2,1,AC Mini Plus
39,SPKLU PLN UP3 Makassar Selatan,SPKLU PLN,"Jl Letjen Hertasning No. 99, Tamalate, Rappocini, Bonto Makkio, Makassar, Sulawesi Selatan",Kota Makassar,Sulawesi Selatan,-5.164298,119.445365,ultrafast,120 kW,2,2,Chargecore DC-120
40,SPKLU RUMAH BUMN DENPASAR,Other/General,"Jl. Raya Sesetan No.130, Sesetan, Denpasar Selatan, Kota Denpasar, Bali",Kota Denpasar,Bali,-8.692813,115.218099,fast,60 kW,1,3,Proteksindo DC EVDX-60
41,SPKLU PLN UIW Kalimantan Selatan dan Kalimantan Tengah,SPKLU PLN,"Jl. Panglima Batur Barat, Loktabat Utara, Banjarbaru Utara, Banjarbaru, Kalimantan Selatan",Kota Banjarbaru,Kalimantan Selatan,-3.438765,114.825124,fast,50 kW,5,1,1. CS AC Charger
41,SPKLU PLN UIW Kalimantan Selatan dan Kalimantan Tengah,SPKLU PLN,"Jl. Panglima Batur Barat, Loktabat Utara, Banjarbaru Utara, Banjarbaru, Kalimantan Selatan",Kota Banjarbaru,Kalimantan Selatan,-3.438765,114.825124,fast,50 kW,5,1,2. CS AC Charger
41,SPKLU PLN UIW Kalimantan Selatan dan Kalimantan Tengah,SPKLU PLN,"Jl. Panglima Batur Barat, Loktabat Utara, Banjarbaru Utara, Banjarbaru, Kalimantan Selatan",Kota Banjarbaru,Kalimantan Selatan,-3.438765,114.825124,fast,50 kW,5,1,3. CS AC Charger
41,SPKLU PLN UIW Kalimantan Selatan dan Kalimantan Tengah,SPKLU PLN,"Jl. Panglima Batur Barat, Loktabat Utara, Banjarbaru Utara, Banjarbaru, Kalimantan Selatan",Kota Banjarbaru,Kalimantan Selatan,-3.438765,114.825124,fast,50 kW,5,1,4. CS AC Charger
41,SPKLU PLN UIW Kalimantan Selatan dan Kalimantan Tengah,SPKLU PLN,"Jl. Panglima Batur Barat, Loktabat Utara, Banjarbaru Utara, Banjarbaru, Kalimantan Selatan",Kota Banjarbaru,Kalimantan Selatan,-3.438765,114.825124,fast,50 kW,5,3,1. Delta DC City Charger
42,SPKLU PLN ULP Ambon Kota,SPKLU PLN,"Jl. Sultan Hairun No.1 Ambon, Maluku",Kota Ambon,Maluku,-3.695954,128.182513,fast,60 kW,1,3,Proteksindo DC EVDX-60
43,SPKLU PLN S2JB Demang,SPKLU PLN,"Jalan Demang Lebar Daun No. 170 Palembang, Sumatera Selatan",Kota Palembang,Sumatera Selatan,-2.9826,104.724377,ultrafast,100 kW,3,1,Free Standing DC Fast Charger
43,SPKLU PLN S2JB Demang,SPKLU PLN,"Jalan Demang Lebar Daun No. 170 Palembang, Sumatera Selatan",Kota Palembang,Sumatera Selatan,-2.9826,104.724377,ultrafast,100 kW,3,2,Teison DC 100 KW
43,SPKLU PLN S2JB Demang,SPKLU PLN,"Jalan Demang Lebar Daun No. 170 Palembang, Sumatera Selatan",Kota Palembang,Sumatera Selatan,-2.9826,104.724377,ultrafast,100 kW,3,3,Proteksindo DC EVDX-60
44,SPKLU PLN UIW SUMBAR,SPKLU PLN,"Jl. Dr. Wahidin No. 8 Sawahan, Kota Padang, Sumatera Barat",Kota Padang,Sumatera Barat,-0.945739,100.371939,fast,60 kW,1,3,Proteksindo DC EVDX-60
